Temperatures,+-
-inf,-inf
2.783595092191205600e-01,-5.227691404459338109e-01
2.916981478730436006e-01,-5.524094891711062161e-01
2.983880646451448349e-01,-5.724262871130297858e-01
3.021856685907992612e-01,-5.873713530391414528e-01
3.044196469227475887e-01,-5.990694678476720103e-01
3.057089012684479079e-01,-6.084833386616014250e-01
3.063867485015067671e-01,-6.161958417471429250e-01
3.066501197582717220e-01,-6.225913777616289835e-01
3.066232095538686808e-01,-6.279387677734615814e-01
3.063881772496635514e-01,-6.324341910021664681e-01
3.060015863213668141e-01,-6.362257830706430362e-01
3.055034497072475763e-01,-6.394280755167628394e-01
3.049228405279023058e-01,-6.421320399026401171e-01
3.042812847880326244e-01,-6.444108347695803873e-01
3.035950300239813049e-01,-6.463243825179001423e-01
3.028765033164532161e-01,-6.479223175889191610e-01
3.021352462584030452e-01,-6.492461331242483924e-01
3.013787685762208124e-01,-6.503311443885871901e-01
3.006129641486548487e-01,-6.512072365853146527e-01
2.998425051089990689e-01,-6.519002221315394197e-01
2.990711059776764436e-01,-6.524323996974596973e-01
2.983017338430688503e-01,-6.528230296810684230e-01
2.975367729935649574e-01,-6.530890630844977673e-01
2.967781172637195541e-01,-6.532452336684446692e-01
2.960272900779409300e-01,-6.533045970708668548e-01
2.952850931543917201e-01,-6.532793186426398835e-01
2.945518390009727594e-01,-6.531805122363165683e-01
2.938279528240790861e-01,-6.530183669324649554e-01
2.931138732610801267e-01,-6.528014498718963665e-01
2.924100899343077264e-01,-6.525373715304210176e-01
2.917170902579270253e-01,-6.522329850813199936e-01
2.910353499232041230e-01,-6.518944263043081611e-01
2.903653208663793395e-01,-6.515269668289489502e-01
2.897074224203791126e-01,-6.511354498176602501e-01
2.890620249746622683e-01,-6.507242553153214093e-01
2.884294961384833433e-01,-6.502970928900750902e-01
2.878100975480956114e-01,-6.498574905677168001e-01
2.872040844158451067e-01,-6.494084595730731380e-01
2.866116533661177690e-01,-6.489527769309080263e-01
2.860329560392441128e-01,-6.484928623771872847e-01
2.854681130043885684e-01,-6.480308885392532803e-01
2.849171737935156656e-01,-6.475686366914156222e-01
2.843801697532685746e-01,-6.471079795033961579e-01
2.838570766960837322e-01,-6.466503414943859385e-01
2.833478722546234896e-01,-6.461969737560990801e-01
2.828524542662010921e-01,-6.457490279041484538e-01
2.823707249992330470e-01,-6.453075262792259403e-01
2.819025392866690849e-01,-6.448732070772623670e-01
2.814477308264268784e-01,-6.444469009801088166e-01
2.810061375764246194e-01,-6.440291051458894023e-01
2.805775432341334752e-01,-6.436204568156048689e-01
2.801617395706201830e-01,-6.432211620686789644e-01
2.797584957424433805e-01,-6.428317102870582112e-01
2.793678638246514523e-01,-6.424535989306761063e-01
2.789900883442288371e-01,-6.420887686621592483e-01
2.786253746406066600e-01,-6.417391358025771320e-01
2.782738711665164733e-01,-6.414061694075106068e-01
2.779356774638641614e-01,-6.410910107560775506e-01
2.776109096977090740e-01,-6.407947219961808161e-01
2.772995145539888240e-01,-6.405178994452693786e-01
2.770015125782673282e-01,-6.402612050332560090e-01
2.767168462869168954e-01,-6.400249774281083770e-01
2.764454199445104954e-01,-6.398093254050521983e-01
2.761870753065880923e-01,-6.396144082111687723e-01
2.759416534364186879e-01,-6.394400701520550623e-01
2.757089634965260716e-01,-6.392861539027253626e-01
2.754887817270565420e-01,-6.391523838035572114e-01
2.752808452967798192e-01,-6.390383391480963793e-01
2.750848908461616671e-01,-6.389436367802946437e-01
2.749006249491257048e-01,-6.388677510672086113e-01
2.747277419470076087e-01,-6.388101428063307496e-01
2.745659206381010353e-01,-6.387701824757758828e-01
2.744148335899894153e-01,-6.387472248086837334e-01
2.742741378044050160e-01,-6.387406949282744550e-01
2.741434886324372044e-01,-6.387498378986815606e-01
2.740225359797068272e-01,-6.387740267585348963e-01
2.739109284916114717e-01,-6.388125588709616665e-01
2.738083096757530366e-01,-6.388646592056076434e-01
2.737143306870611914e-01,-6.389297257981907396e-01
2.736286405224546692e-01,-6.390070523629202137e-01
2.735508928866200451e-01,-6.390959420653495870e-01
2.734807461812122642e-01,-6.391957797786700368e-01
2.734178644760076327e-01,-6.393058091456975678e-01
2.733620803156173729e-01,-6.394260067616467369e-01
2.733137692968282684e-01,-6.395574962577955658e-01
2.732732340985144504e-01,-6.397015418548414045e-01
2.732407255251959044e-01,-6.398589524529427752e-01
2.732164044866609021e-01,-6.400304286655811303e-01
2.732003775325519412e-01,-6.402164037649241690e-01
2.731926823237645907e-01,-6.404172042105367169e-01
2.731933137257577249e-01,-6.406330705327060171e-01
2.732022121838009188e-01,-6.408639725615331573e-01
2.732192775745204139e-01,-6.411097032265314910e-01
2.732443841036523158e-01,-6.413702127520820584e-01
2.732773442205761460e-01,-6.416451487264887010e-01
2.733179761937515329e-01,-6.419340428190493109e-01
2.733660618719436219e-01,-6.422366442010232213e-01
2.734213429185790578e-01,-6.425523995758358753e-01
2.734835816446243850e-01,-6.428806918746562404e-01
2.735525018622219640e-01,-6.432210316720833321e-01
2.736278134776556348e-01,-6.435727876774002265e-01
2.737092582071589120e-01,-6.439353846980963025e-01
2.737965132132449964e-01,-6.443081629515144959e-01
2.738892982188440572e-01,-6.446904682463663327e-01
2.739872994907528447e-01,-6.450816512588327667e-01
2.740902339073645888e-01,-6.454811414008834181e-01
2.741978103057896576e-01,-6.458881597247342343e-01
2.743097158780999356e-01,-6.463022600997204714e-01
2.744256854997197403e-01,-6.467226585072637368e-01
2.745454423535805821e-01,-6.471488127659771328e-01
2.746686842296661157e-01,-6.475801526541343778e-01
2.747951693333592904e-01,-6.480160874981470975e-01
2.749246305892527054e-01,-6.484560713087588191e-01
2.750568171807802886e-01,-6.488995891461165622e-01
2.751914800712180198e-01,-6.493460225020185606e-01
2.753284068242289884e-01,-6.497950349142780357e-01
2.754674676264536881e-01,-6.502462757139978455e-01
2.756090097849879794e-01,-6.507008234438415029e-01
2.757533119235922592e-01,-6.511595204509416090e-01
2.759006703833994378e-01,-6.516230542809091641e-01
2.760512490046567180e-01,-6.520920148451234688e-01
2.762051979392019518e-01,-6.525667519981276365e-01
2.763626064845728370e-01,-6.530476565067532269e-01
2.765235365164980252e-01,-6.535349270486245921e-01
2.766880050806274083e-01,-6.540287281085225279e-01
2.768559995894318004e-01,-6.545289507751016478e-01
2.770274749890025423e-01,-6.550357364401335758e-01
2.772023728716214719e-01,-6.555488983327709684e-01
2.773806074881016714e-01,-6.560682718022078364e-01
2.775620792224705036e-01,-6.565936324758672171e-01
2.777466486528882839e-01,-6.571248761787303883e-01
2.779342052909365979e-01,-6.576615875419552504e-01
2.781245995168311613e-01,-6.582034817162406570e-01
2.783176528143816442e-01,-6.587503309742247515e-01
2.785132584651716647e-01,-6.593016592741549609e-01
2.787112127977596776e-01,-6.598572278571053218e-01
2.789113603027325583e-01,-6.604165914919832847e-01
2.791135312517238898e-01,-6.609794330750952129e-01
2.793175563405054240e-01,-6.615453524384744544e-01
2.795232679217464211e-01,-6.621139584405002498e-01
2.797304823365956983e-01,-6.626849474707016130e-01
2.799390542757057565e-01,-6.632578432830296133e-01
2.801488041327693801e-01,-6.638323292187936486e-01
2.803595738823847494e-01,-6.644080948487507410e-01
2.805712055037304364e-01,-6.649846402900273512e-01
2.807835451019788375e-01,-6.655618193394187143e-01
2.809964378255741524e-01,-6.661391595720689285e-01
2.812097553978358810e-01,-6.667164061638650718e-01
2.814233414388923049e-01,-6.672932591807891889e-01
2.816370683270901787e-01,-6.678693341531916072e-01
2.818508056717373700e-01,-6.684443465624900771e-01
